"Entry","Expt","MacroEnv","DTF","Predicted_DTF"
1,"Su16","Macroenvironment 1",53.6666666666667,51.5870576651373
1,"Ne16","Macroenvironment 2",123,97.9971428106606
1,"It16","Macroenvironment 3",136.666666666667,145.028774440554
2,"Su16","Macroenvironment 1",57.3333333333333,55.2661293495463
2,"Ne16","Macroenvironment 2",124.5,93.5389584939089
2,"It16","Macroenvironment 3",128,136.587121382764
3,"Su16","Macroenvironment 1",59,57.7796161602896
3,"Ne16","Macroenvironment 2",122.333333333333,95.9695003185712
3,"It16","Macroenvironment 3",134,142.070395387266
4,"Su16","Macroenvironment 1",56,53.7012110714531
4,"Ne16","Macroenvironment 2",118,87.579580666243
4,"It16","Macroenvironment 3",129.333333333333,135.354713194727
5,"Su16","Macroenvironment 1",51,51.2200786056896
5,"Ne16","Macroenvironment 2",122.5,89.6282554314579
5,"It16","Macroenvironment 3",126.333333333333,135.501600175026
6,"Su16","Macroenvironment 1",56,54.4738112527333
6,"Ne16","Macroenvironment 2",127,92.4863661541023
6,"It16","Macroenvironment 3",131,139.356135804228
7,"Su16","Macroenvironment 1",54,52.2626107383587
7,"Ne16","Macroenvironment 2",125,92.5785005337295
7,"It16","Macroenvironment 3",139.666666666667,145.927146152937
8,"Su16","Macroenvironment 1",53,49.8655507593105
8,"Ne16","Macroenvironment 2",123.333333333333,99.7042957161225
8,"It16","Macroenvironment 3",129.333333333333,139.158850427482
9,"Su16","Macroenvironment 1",54.3333333333333,52.3653218548326
9,"Ne16","Macroenvironment 2",118,93.08072245592
9,"It16","Macroenvironment 3",134.666666666667,141.415169136177
10,"Su16","Macroenvironment 1",55.6666666666667,54.0686726295303
10,"Ne16","Macroenvironment 2",120.666666666667,79.0594605162592
10,"It16","Macroenvironment 3",130.666666666667,137.135421199892
11,"Su16","Macroenvironment 1",53.6666666666667,52.5709547943209
11,"Ne16","Macroenvironment 2",117,94.1447729684819
11,"It16","Macroenvironment 3",129.666666666667,139.042407260526
12,"Su16","Macroenvironment 1",50.6666666666667,50.7521261401416
12,"Ne16","Macroenvironment 2",120,91.0757678294525
12,"It16","Macroenvironment 3",129.666666666667,135.411538195
13,"Su16","Macroenvironment 1",56,54.4971209981165
13,"Ne16","Macroenvironment 2",117,94.4445384314447
13,"It16","Macroenvironment 3",147.333333333333,148.613458486772
14,"Su16","Macroenvironment 1",56,53.714076211052
14,"Ne16","Macroenvironment 2",131,92.8271067124599
14,"It16","Macroenvironment 3",127.666666666667,141.073723443655
15,"Su16","Macroenvironment 1",56,53.659450715931
15,"Ne16","Macroenvironment 2",124.5,98.4992441091092
15,"It16","Macroenvironment 3",128,135.905119966676
16,"Su16","Macroenvironment 1",53.6666666666667,52.2285157318477
16,"Ne16","Macroenvironment 2",125.333333333333,98.6434001292647
16,"It16","Macroenvironment 3",129.666666666667,137.067475364132
17,"Su16","Macroenvironment 1",53,50.5334206825864
17,"Ne16","Macroenvironment 2",120,92.3852404645114
17,"It16","Macroenvironment 3",129.333333333333,142.918004306072
18,"Su16","Macroenvironment 1",54,51.9655851901404
18,"Ne16","Macroenvironment 2",106.333333333333,78.7958770099074
18,"It16","Macroenvironment 3",125.333333333333,138.163867527817
19,"Su16","Macroenvironment 1",57.6666666666667,55.7659451840697
19,"Ne16","Macroenvironment 2",118.666666666667,96.1812052785107
19,"It16","Macroenvironment 3",129.333333333333,139.351346117579
20,"Su16","Macroenvironment 1",55,52.9364929933297
20,"Ne16","Macroenvironment 2",128.333333333333,96.3825781745695
20,"It16","Macroenvironment 3",133.666666666667,140.542677309523
21,"Su16","Macroenvironment 1",54,52.6961506776834
21,"Ne16","Macroenvironment 2",110.666666666667,88.7794796454129
21,"It16","Macroenvironment 3",125.333333333333,138.261308404587
22,"Su16","Macroenvironment 1",51,50.8338283078223
22,"Ne16","Macroenvironment 2",103.333333333333,75.5378344619011
22,"It16","Macroenvironment 3",123,131.817862967632
23,"Su16","Macroenvironment 1",47,46.2536599776275
23,"Ne16","Macroenvironment 2",115.666666666667,85.0808613092177
23,"It16","Macroenvironment 3",129.333333333333,142.020411090503
24,"Su16","Macroenvironment 1",54.3333333333333,52.2396508874908
24,"Ne16","Macroenvironment 2",118.666666666667,87.0943898987804
24,"It16","Macroenvironment 3",128,134.970122887616
25,"Su16","Macroenvironment 1",51.6666666666667,50.7820555293712
25,"Ne16","Macroenvironment 2",106.666666666667,81.7576361687656
25,"It16","Macroenvironment 3",124.666666666667,135.854094699662
26,"Su16","Macroenvironment 1",47.6666666666667,46.04418488647
26,"Ne16","Macroenvironment 2",99.6666666666667,80.0721954616069
26,"It16","Macroenvironment 3",120.666666666667,119.238293051436
27,"Su16","Macroenvironment 1",45.3333333333333,44.3665264979919
27,"Ne16","Macroenvironment 2",106.333333333333,80.1739183251005
27,"It16","Macroenvironment 3",131,140.220621899878
28,"Su16","Macroenvironment 1",43.6666666666667,43.3406567013972
28,"Ne16","Macroenvironment 2",115.5,84.1968823898162
28,"It16","Macroenvironment 3",131,137.637213543352
29,"Su16","Macroenvironment 1",51,50.0204823912713
29,"Ne16","Macroenvironment 2",107.666666666667,81.8557501148546
29,"It16","Macroenvironment 3",134,142.148051055705
30,"Su16","Macroenvironment 1",45.6666666666667,43.8749767120648
30,"Ne16","Macroenvironment 2",102.333333333333,76.4647249078517
30,"It16","Macroenvironment 3",125.333333333333,131.987820079875
31,"Su16","Macroenvironment 1",44.3333333333333,43.1582484075968
31,"Ne16","Macroenvironment 2",82.3333333333333,68.7381056336851
31,"It16","Macroenvironment 3",116.333333333333,114.29954271592
32,"Su16","Macroenvironment 1",43.6666666666667,43.0520622325715
32,"Ne16","Macroenvironment 2",101.666666666667,75.4010275646507
32,"It16","Macroenvironment 3",113.666666666667,110.344090278814
33,"Su16","Macroenvironment 1",44.6666666666667,43.9714520940952
33,"Ne16","Macroenvironment 2",80,60.4749874343173
33,"It16","Macroenvironment 3",116,109.7060530388
34,"Su16","Macroenvironment 1",53,51.3147080385272
34,"Ne16","Macroenvironment 2",129.666666666667,99.6485703980249
34,"It16","Macroenvironment 3",145,144.307128169225
35,"Su16","Macroenvironment 1",51,49.7677777427493
35,"Ne16","Macroenvironment 2",137,101.417940408488
35,"It16","Macroenvironment 3",135,137.87863883342
36,"Su16","Macroenvironment 1",54.6666666666667,51.1595481543845
36,"Ne16","Macroenvironment 2",126,100.622326169082
36,"It16","Macroenvironment 3",133.333333333333,132.245193019573
37,"Su16","Macroenvironment 1",51,50.7342353501245
37,"Ne16","Macroenvironment 2",126,101.180997643495
37,"It16","Macroenvironment 3",144.666666666667,141.168401420462
38,"Su16","Macroenvironment 1",47,45.2953293724748
38,"Ne16","Macroenvironment 2",99.6666666666667,73.4516627613762
38,"It16","Macroenvironment 3",116.333333333333,112.021085397342
39,"Su16","Macroenvironment 1",55.3333333333333,51.9890530830851
39,"Ne16","Macroenvironment 2",121,94.1593317601943
39,"It16","Macroenvironment 3",136.666666666667,141.050741148826
40,"Su16","Macroenvironment 1",53.6666666666667,52.1230971942364
40,"Ne16","Macroenvironment 2",112.333333333333,88.3007794909414
40,"It16","Macroenvironment 3",131,135.898694933091
41,"Su16","Macroenvironment 1",56,54.8923895681364
41,"Ne16","Macroenvironment 2",123.666666666667,90.3219296305586
41,"It16","Macroenvironment 3",140,150.09194615009
42,"Su16","Macroenvironment 1",51.6666666666667,50.9589173914779
42,"Ne16","Macroenvironment 2",102.666666666667,79.2160156972211
42,"It16","Macroenvironment 3",123,126.223152685266
43,"Su16","Macroenvironment 1",45,43.9331732694437
43,"Ne16","Macroenvironment 2",94,70.7879052523013
43,"It16","Macroenvironment 3",116.333333333333,111.651666827403
44,"Su16","Macroenvironment 1",49.6666666666667,47.653150264032
44,"Ne16","Macroenvironment 2",111.333333333333,92.2360024732894
44,"It16","Macroenvironment 3",129.666666666667,143.012678877048
45,"Su16","Macroenvironment 1",46.3333333333333,45.7819938614963
45,"Ne16","Macroenvironment 2",107,91.5342249376255
45,"It16","Macroenvironment 3",121,122.558753544879
46,"Su16","Macroenvironment 1",48,46.4371705500875
46,"Ne16","Macroenvironment 2",124.666666666667,88.8902484463216
46,"It16","Macroenvironment 3",144.666666666667,148.015242534313
47,"Su16","Macroenvironment 1",45,45.6883341205166
47,"Ne16","Macroenvironment 2",120.333333333333,93.765324241335
47,"It16","Macroenvironment 3",147.333333333333,148.911563687025
48,"Su16","Macroenvironment 1",47.3333333333333,46.3364621225931
48,"Ne16","Macroenvironment 2",122.333333333333,89.1259791793689
48,"It16","Macroenvironment 3",143,139.132853609176
49,"Su16","Macroenvironment 1",45,44.3293312140179
49,"Ne16","Macroenvironment 2",98.3333333333333,79.4755393165578
49,"It16","Macroenvironment 3",120.666666666667,115.913011367408
50,"Su16","Macroenvironment 1",55,52.7377809382328
50,"Ne16","Macroenvironment 2",144,97.785538860553
50,"It16","Macroenvironment 3",147.666666666667,148.039697396485
