Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
"Rosthern, Canada",2017,2017-05-19,05:08:24,Weather Station,Day Length,Hours,15.77,0
"Rosthern, Canada",2017,2017-05-20,05:07:12,Weather Station,Day Length,Hours,15.82,1
"Rosthern, Canada",2017,2017-05-21,05:06:00,Weather Station,Day Length,Hours,15.87,2
"Rosthern, Canada",2017,2017-05-22,05:04:12,Weather Station,Day Length,Hours,15.91,3
"Rosthern, Canada",2017,2017-05-23,05:03:00,Weather Station,Day Length,Hours,15.96,4
"Rosthern, Canada",2017,2017-05-24,05:01:48,Weather Station,Day Length,Hours,16,5
"Rosthern, Canada",2017,2017-05-25,05:01:12,Weather Station,Day Length,Hours,16.04,6
"Rosthern, Canada",2017,2017-05-26,05:00:00,Weather Station,Day Length,Hours,16.08,7
"Rosthern, Canada",2017,2017-05-27,04:58:48,Weather Station,Day Length,Hours,16.12,8
"Rosthern, Canada",2017,2017-05-28,04:57:36,Weather Station,Day Length,Hours,16.16,9
"Rosthern, Canada",2017,2017-05-29,04:57:00,Weather Station,Day Length,Hours,16.19,10
"Rosthern, Canada",2017,2017-05-30,04:55:48,Weather Station,Day Length,Hours,16.23,11
"Rosthern, Canada",2017,2017-05-31,04:55:12,Weather Station,Day Length,Hours,16.26,12
"Rosthern, Canada",2017,2017-06-01,04:54:00,Weather Station,Day Length,Hours,16.3,13
"Rosthern, Canada",2017,2017-06-02,04:53:24,Weather Station,Day Length,Hours,16.33,14
"Rosthern, Canada",2017,2017-06-03,04:52:48,Weather Station,Day Length,Hours,16.36,15
"Rosthern, Canada",2017,2017-06-04,04:52:12,Weather Station,Day Length,Hours,16.39,16
"Rosthern, Canada",2017,2017-06-05,04:51:36,Weather Station,Day Length,Hours,16.41,17
"Rosthern, Canada",2017,2017-06-06,04:51:00,Weather Station,Day Length,Hours,16.44,18
"Rosthern, Canada",2017,2017-06-07,04:50:24,Weather Station,Day Length,Hours,16.46,19
"Rosthern, Canada",2017,2017-06-08,04:49:48,Weather Station,Day Length,Hours,16.48,20
"Rosthern, Canada",2017,2017-06-09,04:49:12,Weather Station,Day Length,Hours,16.5,21
"Rosthern, Canada",2017,2017-06-10,04:49:12,Weather Station,Day Length,Hours,16.52,22
"Rosthern, Canada",2017,2017-06-11,04:48:36,Weather Station,Day Length,Hours,16.54,23
"Rosthern, Canada",2017,2017-06-12,04:48:36,Weather Station,Day Length,Hours,16.56,24
"Rosthern, Canada",2017,2017-06-13,04:48:00,Weather Station,Day Length,Hours,16.57,25
"Rosthern, Canada",2017,2017-06-14,04:48:00,Weather Station,Day Length,Hours,16.58,26
"Rosthern, Canada",2017,2017-06-15,04:48:00,Weather Station,Day Length,Hours,16.59,27
"Rosthern, Canada",2017,2017-06-16,04:48:00,Weather Station,Day Length,Hours,16.6,28
"Rosthern, Canada",2017,2017-06-17,04:48:00,Weather Station,Day Length,Hours,16.61,29
"Rosthern, Canada",2017,2017-06-18,04:48:00,Weather Station,Day Length,Hours,16.62,30
"Rosthern, Canada",2017,2017-06-19,04:48:00,Weather Station,Day Length,Hours,16.62,31
"Rosthern, Canada",2017,2017-06-20,04:48:00,Weather Station,Day Length,Hours,16.62,32
"Rosthern, Canada",2017,2017-06-21,04:48:36,Weather Station,Day Length,Hours,16.62,33
"Rosthern, Canada",2017,2017-06-22,04:48:36,Weather Station,Day Length,Hours,16.62,34
"Rosthern, Canada",2017,2017-06-23,04:49:12,Weather Station,Day Length,Hours,16.62,35
"Rosthern, Canada",2017,2017-06-24,04:49:12,Weather Station,Day Length,Hours,16.61,36
"Rosthern, Canada",2017,2017-06-25,04:49:48,Weather Station,Day Length,Hours,16.61,37
"Rosthern, Canada",2017,2017-06-26,04:50:24,Weather Station,Day Length,Hours,16.6,38
"Rosthern, Canada",2017,2017-06-27,04:50:24,Weather Station,Day Length,Hours,16.59,39
"Rosthern, Canada",2017,2017-06-28,04:51:00,Weather Station,Day Length,Hours,16.58,40
"Rosthern, Canada",2017,2017-06-29,04:51:36,Weather Station,Day Length,Hours,16.56,41
"Rosthern, Canada",2017,2017-06-30,04:52:12,Weather Station,Day Length,Hours,16.55,42
"Rosthern, Canada",2017,2017-07-01,04:53:24,Weather Station,Day Length,Hours,16.53,43
"Rosthern, Canada",2017,2017-07-02,04:54:00,Weather Station,Day Length,Hours,16.51,44
"Rosthern, Canada",2017,2017-07-03,04:54:36,Weather Station,Day Length,Hours,16.49,45
"Rosthern, Canada",2017,2017-07-04,04:55:48,Weather Station,Day Length,Hours,16.47,46
"Rosthern, Canada",2017,2017-07-05,04:56:24,Weather Station,Day Length,Hours,16.45,47
"Rosthern, Canada",2017,2017-07-06,04:57:00,Weather Station,Day Length,Hours,16.42,48
"Rosthern, Canada",2017,2017-07-07,04:58:12,Weather Station,Day Length,Hours,16.4,49
"Rosthern, Canada",2017,2017-07-08,04:59:24,Weather Station,Day Length,Hours,16.37,50
"Rosthern, Canada",2017,2017-07-09,05:00:00,Weather Station,Day Length,Hours,16.34,51
"Rosthern, Canada",2017,2017-07-10,05:01:12,Weather Station,Day Length,Hours,16.31,52
"Rosthern, Canada",2017,2017-07-11,05:02:24,Weather Station,Day Length,Hours,16.28,53
"Rosthern, Canada",2017,2017-07-12,05:03:36,Weather Station,Day Length,Hours,16.24,54
"Rosthern, Canada",2017,2017-07-13,05:04:48,Weather Station,Day Length,Hours,16.21,55
"Rosthern, Canada",2017,2017-07-14,05:06:00,Weather Station,Day Length,Hours,16.17,56
"Rosthern, Canada",2017,2017-07-15,05:07:12,Weather Station,Day Length,Hours,16.14,57
"Rosthern, Canada",2017,2017-07-16,05:08:24,Weather Station,Day Length,Hours,16.1,58
