Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
"Sutherland, Canada",2018,2018-05-09,05:27:00,Weather Station,Day Length,Hours,15.18,0
"Sutherland, Canada",2018,2018-05-10,05:25:48,Weather Station,Day Length,Hours,15.23,1
"Sutherland, Canada",2018,2018-05-11,05:24:00,Weather Station,Day Length,Hours,15.29,2
"Sutherland, Canada",2018,2018-05-12,05:22:12,Weather Station,Day Length,Hours,15.34,3
"Sutherland, Canada",2018,2018-05-13,05:20:24,Weather Station,Day Length,Hours,15.39,4
"Sutherland, Canada",2018,2018-05-14,05:19:12,Weather Station,Day Length,Hours,15.44,5
"Sutherland, Canada",2018,2018-05-15,05:17:24,Weather Station,Day Length,Hours,15.49,6
"Sutherland, Canada",2018,2018-05-16,05:16:12,Weather Station,Day Length,Hours,15.54,7
"Sutherland, Canada",2018,2018-05-17,05:15:00,Weather Station,Day Length,Hours,15.59,8
"Sutherland, Canada",2018,2018-05-18,05:13:12,Weather Station,Day Length,Hours,15.64,9
"Sutherland, Canada",2018,2018-05-19,05:12:00,Weather Station,Day Length,Hours,15.69,10
"Sutherland, Canada",2018,2018-05-20,05:10:48,Weather Station,Day Length,Hours,15.73,11
"Sutherland, Canada",2018,2018-05-21,05:09:36,Weather Station,Day Length,Hours,15.78,12
"Sutherland, Canada",2018,2018-05-22,05:07:48,Weather Station,Day Length,Hours,15.82,13
"Sutherland, Canada",2018,2018-05-23,05:06:36,Weather Station,Day Length,Hours,15.86,14
"Sutherland, Canada",2018,2018-05-24,05:05:24,Weather Station,Day Length,Hours,15.91,15
"Sutherland, Canada",2018,2018-05-25,05:04:48,Weather Station,Day Length,Hours,15.95,16
"Sutherland, Canada",2018,2018-05-26,05:03:36,Weather Station,Day Length,Hours,15.99,17
"Sutherland, Canada",2018,2018-05-27,05:02:24,Weather Station,Day Length,Hours,16.03,18
"Sutherland, Canada",2018,2018-05-28,05:01:12,Weather Station,Day Length,Hours,16.06,19
"Sutherland, Canada",2018,2018-05-29,05:00:36,Weather Station,Day Length,Hours,16.1,20
"Sutherland, Canada",2018,2018-05-30,04:59:24,Weather Station,Day Length,Hours,16.13,21
"Sutherland, Canada",2018,2018-05-31,04:58:48,Weather Station,Day Length,Hours,16.17,22
"Sutherland, Canada",2018,2018-06-01,04:57:36,Weather Station,Day Length,Hours,16.2,23
"Sutherland, Canada",2018,2018-06-02,04:57:00,Weather Station,Day Length,Hours,16.23,24
"Sutherland, Canada",2018,2018-06-03,04:56:24,Weather Station,Day Length,Hours,16.26,25
"Sutherland, Canada",2018,2018-06-04,04:55:48,Weather Station,Day Length,Hours,16.29,26
"Sutherland, Canada",2018,2018-06-05,04:55:12,Weather Station,Day Length,Hours,16.31,27
"Sutherland, Canada",2018,2018-06-06,04:54:36,Weather Station,Day Length,Hours,16.34,28
"Sutherland, Canada",2018,2018-06-07,04:54:00,Weather Station,Day Length,Hours,16.36,29
"Sutherland, Canada",2018,2018-06-08,04:53:24,Weather Station,Day Length,Hours,16.39,30
"Sutherland, Canada",2018,2018-06-09,04:53:24,Weather Station,Day Length,Hours,16.41,31
"Sutherland, Canada",2018,2018-06-10,04:52:48,Weather Station,Day Length,Hours,16.42,32
"Sutherland, Canada",2018,2018-06-11,04:52:12,Weather Station,Day Length,Hours,16.44,33
"Sutherland, Canada",2018,2018-06-12,04:52:12,Weather Station,Day Length,Hours,16.46,34
"Sutherland, Canada",2018,2018-06-13,04:52:12,Weather Station,Day Length,Hours,16.47,35
"Sutherland, Canada",2018,2018-06-14,04:51:36,Weather Station,Day Length,Hours,16.48,36
"Sutherland, Canada",2018,2018-06-15,04:51:36,Weather Station,Day Length,Hours,16.49,37
"Sutherland, Canada",2018,2018-06-16,04:51:36,Weather Station,Day Length,Hours,16.5,38
"Sutherland, Canada",2018,2018-06-17,04:51:36,Weather Station,Day Length,Hours,16.51,39
"Sutherland, Canada",2018,2018-06-18,04:51:36,Weather Station,Day Length,Hours,16.52,40
"Sutherland, Canada",2018,2018-06-19,04:51:36,Weather Station,Day Length,Hours,16.52,41
"Sutherland, Canada",2018,2018-06-20,04:52:12,Weather Station,Day Length,Hours,16.52,42
"Sutherland, Canada",2018,2018-06-21,04:52:12,Weather Station,Day Length,Hours,16.52,43
"Sutherland, Canada",2018,2018-06-22,04:52:12,Weather Station,Day Length,Hours,16.52,44
"Sutherland, Canada",2018,2018-06-23,04:52:48,Weather Station,Day Length,Hours,16.52,45
"Sutherland, Canada",2018,2018-06-24,04:52:48,Weather Station,Day Length,Hours,16.52,46
"Sutherland, Canada",2018,2018-06-25,04:53:24,Weather Station,Day Length,Hours,16.51,47
"Sutherland, Canada",2018,2018-06-26,04:54:00,Weather Station,Day Length,Hours,16.5,48
"Sutherland, Canada",2018,2018-06-27,04:54:36,Weather Station,Day Length,Hours,16.49,49
"Sutherland, Canada",2018,2018-06-28,04:54:36,Weather Station,Day Length,Hours,16.48,50
"Sutherland, Canada",2018,2018-06-29,04:55:12,Weather Station,Day Length,Hours,16.47,51
"Sutherland, Canada",2018,2018-06-30,04:55:48,Weather Station,Day Length,Hours,16.46,52
"Sutherland, Canada",2018,2018-07-01,04:57:00,Weather Station,Day Length,Hours,16.44,53
"Sutherland, Canada",2018,2018-07-02,04:57:36,Weather Station,Day Length,Hours,16.42,54
"Sutherland, Canada",2018,2018-07-03,04:58:12,Weather Station,Day Length,Hours,16.4,55
"Sutherland, Canada",2018,2018-07-04,04:58:48,Weather Station,Day Length,Hours,16.38,56
"Sutherland, Canada",2018,2018-07-05,05:00:00,Weather Station,Day Length,Hours,16.36,57
"Sutherland, Canada",2018,2018-07-06,05:00:36,Weather Station,Day Length,Hours,16.34,58
"Sutherland, Canada",2018,2018-07-07,05:01:48,Weather Station,Day Length,Hours,16.31,59
"Sutherland, Canada",2018,2018-07-08,05:02:24,Weather Station,Day Length,Hours,16.28,60
"Sutherland, Canada",2018,2018-07-09,05:03:36,Weather Station,Day Length,Hours,16.26,61
"Sutherland, Canada",2018,2018-07-10,05:04:48,Weather Station,Day Length,Hours,16.23,62
"Sutherland, Canada",2018,2018-07-11,05:05:24,Weather Station,Day Length,Hours,16.2,63
"Sutherland, Canada",2018,2018-07-12,05:06:36,Weather Station,Day Length,Hours,16.16,64
"Sutherland, Canada",2018,2018-07-13,05:07:48,Weather Station,Day Length,Hours,16.13,65
"Sutherland, Canada",2018,2018-07-14,05:09:00,Weather Station,Day Length,Hours,16.1,66
"Sutherland, Canada",2018,2018-07-15,05:10:12,Weather Station,Day Length,Hours,16.06,67
"Sutherland, Canada",2018,2018-07-16,05:11:24,Weather Station,Day Length,Hours,16.02,68
"Sutherland, Canada",2018,2018-07-17,05:12:36,Weather Station,Day Length,Hours,15.98,69
"Sutherland, Canada",2018,2018-07-18,05:13:48,Weather Station,Day Length,Hours,15.94,70
"Sutherland, Canada",2018,2018-07-19,05:15:00,Weather Station,Day Length,Hours,15.9,71
"Sutherland, Canada",2018,2018-07-20,05:16:48,Weather Station,Day Length,Hours,15.86,72
"Sutherland, Canada",2018,2018-07-21,05:18:00,Weather Station,Day Length,Hours,15.82,73
"Sutherland, Canada",2018,2018-07-22,05:19:12,Weather Station,Day Length,Hours,15.78,74
"Sutherland, Canada",2018,2018-07-23,05:20:24,Weather Station,Day Length,Hours,15.73,75
"Sutherland, Canada",2018,2018-07-24,05:22:12,Weather Station,Day Length,Hours,15.69,76
"Sutherland, Canada",2018,2018-07-25,05:23:24,Weather Station,Day Length,Hours,15.64,77
"Sutherland, Canada",2018,2018-07-26,05:24:36,Weather Station,Day Length,Hours,15.59,78
"Sutherland, Canada",2018,2018-07-27,05:26:24,Weather Station,Day Length,Hours,15.54,79
"Sutherland, Canada",2018,2018-07-28,05:27:36,Weather Station,Day Length,Hours,15.49,80
"Sutherland, Canada",2018,2018-07-29,05:29:24,Weather Station,Day Length,Hours,15.44,81
"Sutherland, Canada",2018,2018-07-30,05:30:36,Weather Station,Day Length,Hours,15.39,82
"Sutherland, Canada",2018,2018-07-31,05:32:24,Weather Station,Day Length,Hours,15.34,83
"Sutherland, Canada",2018,2018-08-01,05:33:36,Weather Station,Day Length,Hours,15.29,84
"Sutherland, Canada",2018,2018-08-02,05:35:24,Weather Station,Day Length,Hours,15.23,85
"Sutherland, Canada",2018,2018-08-03,05:36:36,Weather Station,Day Length,Hours,15.18,86
"Sutherland, Canada",2018,2018-08-04,05:38:24,Weather Station,Day Length,Hours,15.13,87
"Sutherland, Canada",2018,2018-08-05,05:40:12,Weather Station,Day Length,Hours,15.07,88
"Sutherland, Canada",2018,2018-08-06,05:41:24,Weather Station,Day Length,Hours,15.02,89
"Sutherland, Canada",2018,2018-08-07,05:43:12,Weather Station,Day Length,Hours,14.96,90
"Sutherland, Canada",2018,2018-08-08,05:44:24,Weather Station,Day Length,Hours,14.9,91
"Sutherland, Canada",2018,2018-08-09,05:46:12,Weather Station,Day Length,Hours,14.85,92
"Sutherland, Canada",2018,2018-08-10,05:48:00,Weather Station,Day Length,Hours,14.79,93
"Sutherland, Canada",2018,2018-08-11,05:49:12,Weather Station,Day Length,Hours,14.73,94
"Sutherland, Canada",2018,2018-08-12,05:51:00,Weather Station,Day Length,Hours,14.67,95
"Sutherland, Canada",2018,2018-08-13,05:52:48,Weather Station,Day Length,Hours,14.61,96
"Sutherland, Canada",2018,2018-08-14,05:54:00,Weather Station,Day Length,Hours,14.55,97
"Sutherland, Canada",2018,2018-08-15,05:55:48,Weather Station,Day Length,Hours,14.49,98
"Sutherland, Canada",2018,2018-08-16,05:57:36,Weather Station,Day Length,Hours,14.43,99
"Sutherland, Canada",2018,2018-08-17,05:58:48,Weather Station,Day Length,Hours,14.37,100
"Sutherland, Canada",2018,2018-08-18,06:00:36,Weather Station,Day Length,Hours,14.31,101
"Sutherland, Canada",2018,2018-08-19,06:02:24,Weather Station,Day Length,Hours,14.25,102
"Sutherland, Canada",2018,2018-08-20,06:03:36,Weather Station,Day Length,Hours,14.19,103
"Sutherland, Canada",2018,2018-08-21,06:05:24,Weather Station,Day Length,Hours,14.12,104
"Sutherland, Canada",2018,2018-08-22,06:07:12,Weather Station,Day Length,Hours,14.06,105
"Sutherland, Canada",2018,2018-08-23,06:09:00,Weather Station,Day Length,Hours,14,106
"Sutherland, Canada",2018,2018-08-24,06:10:12,Weather Station,Day Length,Hours,13.94,107
"Sutherland, Canada",2018,2018-08-25,06:12:00,Weather Station,Day Length,Hours,13.87,108
"Sutherland, Canada",2018,2018-08-26,06:13:48,Weather Station,Day Length,Hours,13.81,109
"Sutherland, Canada",2018,2018-08-27,06:15:00,Weather Station,Day Length,Hours,13.75,110
"Sutherland, Canada",2018,2018-08-28,06:16:48,Weather Station,Day Length,Hours,13.68,111
"Sutherland, Canada",2018,2018-08-29,06:18:36,Weather Station,Day Length,Hours,13.62,112
"Sutherland, Canada",2018,2018-05-28,,Weather Station,Precipitation,mm,4,19
"Sutherland, Canada",2018,2018-06-25,,Weather Station,Precipitation,mm,0.5,47
"Sutherland, Canada",2018,2018-07-03,,Weather Station,Precipitation,mm,2,55
"Sutherland, Canada",2018,2018-07-06,,Weather Station,Precipitation,mm,10,58
"Sutherland, Canada",2018,2018-07-12,,Weather Station,Precipitation,mm,28,64
"Sutherland, Canada",2018,2018-08-03,,Weather Station,Precipitation,mm,15,86
"Sutherland, Canada",2018,2018-08-07,,Weather Station,Precipitation,mm,3,90
"Sutherland, Canada",2018,2018-08-29,,Weather Station,Precipitation,mm,3,112
"Sutherland, Canada",2018,2018-05-18,12:03:00,IButton1,Temperature,C,19.5,9
"Sutherland, Canada",2018,2018-05-18,13:03:00,IButton1,Temperature,C,20,9
"Sutherland, Canada",2018,2018-05-18,14:03:00,IButton1,Temperature,C,20.5,9
"Sutherland, Canada",2018,2018-05-18,15:03:00,IButton1,Temperature,C,22,9
"Sutherland, Canada",2018,2018-05-18,16:03:00,IButton1,Temperature,C,23,9
"Sutherland, Canada",2018,2018-05-18,17:03:00,IButton1,Temperature,C,26,9
"Sutherland, Canada",2018,2018-05-18,18:03:00,IButton1,Temperature,C,24,9
"Sutherland, Canada",2018,2018-05-18,19:03:00,IButton1,Temperature,C,23,9
"Sutherland, Canada",2018,2018-05-18,20:03:00,IButton1,Temperature,C,20.5,9
"Sutherland, Canada",2018,2018-05-18,21:03:00,IButton1,Temperature,C,10.5,9
"Sutherland, Canada",2018,2018-05-18,22:03:00,IButton1,Temperature,C,8,9
"Sutherland, Canada",2018,2018-05-18,23:03:00,IButton1,Temperature,C,6.5,9
"Sutherland, Canada",2018,2018-05-19,00:03:00,IButton1,Temperature,C,5.5,10
"Sutherland, Canada",2018,2018-05-19,01:03:00,IButton1,Temperature,C,4.5,10
"Sutherland, Canada",2018,2018-05-19,02:03:00,IButton1,Temperature,C,4,10
"Sutherland, Canada",2018,2018-05-19,03:03:00,IButton1,Temperature,C,2.5,10
"Sutherland, Canada",2018,2018-05-19,04:03:00,IButton1,Temperature,C,2.5,10
"Sutherland, Canada",2018,2018-05-19,05:03:00,IButton1,Temperature,C,2.5,10
"Sutherland, Canada",2018,2018-05-19,06:03:00,IButton1,Temperature,C,6,10
"Sutherland, Canada",2018,2018-05-19,07:03:00,IButton1,Temperature,C,12.5,10
"Sutherland, Canada",2018,2018-05-19,08:03:00,IButton1,Temperature,C,16,10
"Sutherland, Canada",2018,2018-05-19,09:03:00,IButton1,Temperature,C,20,10
"Sutherland, Canada",2018,2018-05-19,10:03:00,IButton1,Temperature,C,21.5,10
"Sutherland, Canada",2018,2018-05-19,11:03:00,IButton1,Temperature,C,23.5,10
"Sutherland, Canada",2018,2018-05-19,12:03:00,IButton1,Temperature,C,25.5,10
"Sutherland, Canada",2018,2018-05-19,13:03:00,IButton1,Temperature,C,25,10
"Sutherland, Canada",2018,2018-05-19,14:03:00,IButton1,Temperature,C,24,10
"Sutherland, Canada",2018,2018-05-19,15:03:00,IButton1,Temperature,C,25.5,10
"Sutherland, Canada",2018,2018-05-19,16:03:00,IButton1,Temperature,C,25.5,10
"Sutherland, Canada",2018,2018-05-19,17:03:00,IButton1,Temperature,C,25,10
"Sutherland, Canada",2018,2018-05-19,18:03:00,IButton1,Temperature,C,27,10
"Sutherland, Canada",2018,2018-05-19,19:03:00,IButton1,Temperature,C,24.5,10
"Sutherland, Canada",2018,2018-05-19,20:03:00,IButton1,Temperature,C,23,10
"Sutherland, Canada",2018,2018-05-19,21:03:00,IButton1,Temperature,C,14,10
"Sutherland, Canada",2018,2018-05-19,22:03:00,IButton1,Temperature,C,11.5,10
"Sutherland, Canada",2018,2018-05-19,23:03:00,IButton1,Temperature,C,9.5,10
"Sutherland, Canada",2018,2018-05-20,00:03:00,IButton1,Temperature,C,10,11
"Sutherland, Canada",2018,2018-05-20,01:03:00,IButton1,Temperature,C,8,11
"Sutherland, Canada",2018,2018-05-20,02:03:00,IButton1,Temperature,C,6.5,11
"Sutherland, Canada",2018,2018-05-20,03:03:00,IButton1,Temperature,C,5,11
"Sutherland, Canada",2018,2018-05-20,04:03:00,IButton1,Temperature,C,4,11
"Sutherland, Canada",2018,2018-05-20,05:03:00,IButton1,Temperature,C,3.5,11
"Sutherland, Canada",2018,2018-05-20,06:03:00,IButton1,Temperature,C,9.5,11
"Sutherland, Canada",2018,2018-05-20,07:03:00,IButton1,Temperature,C,13,11
"Sutherland, Canada",2018,2018-05-20,08:03:00,IButton1,Temperature,C,18.5,11
"Sutherland, Canada",2018,2018-05-20,09:03:00,IButton1,Temperature,C,22.5,11
"Sutherland, Canada",2018,2018-05-20,10:03:00,IButton1,Temperature,C,24,11
"Sutherland, Canada",2018,2018-05-20,11:03:00,IButton1,Temperature,C,24,11
"Sutherland, Canada",2018,2018-05-20,12:03:00,IButton1,Temperature,C,26,11
"Sutherland, Canada",2018,2018-05-20,13:03:00,IButton1,Temperature,C,26,11
"Sutherland, Canada",2018,2018-05-20,14:03:00,IButton1,Temperature,C,26.5,11
"Sutherland, Canada",2018,2018-05-20,15:03:00,IButton1,Temperature,C,26.5,11
"Sutherland, Canada",2018,2018-05-20,16:03:00,IButton1,Temperature,C,28,11
"Sutherland, Canada",2018,2018-05-20,17:03:00,IButton1,Temperature,C,28,11
"Sutherland, Canada",2018,2018-05-20,18:03:00,IButton1,Temperature,C,28.5,11
"Sutherland, Canada",2018,2018-05-20,19:03:00,IButton1,Temperature,C,27,11
"Sutherland, Canada",2018,2018-05-20,20:03:00,IButton1,Temperature,C,25,11
"Sutherland, Canada",2018,2018-05-20,21:03:00,IButton1,Temperature,C,19,11
"Sutherland, Canada",2018,2018-05-20,22:03:00,IButton1,Temperature,C,17,11
"Sutherland, Canada",2018,2018-05-20,23:03:00,IButton1,Temperature,C,16,11
"Sutherland, Canada",2018,2018-05-21,00:03:00,IButton1,Temperature,C,15.5,12
"Sutherland, Canada",2018,2018-05-21,01:03:00,IButton1,Temperature,C,15.5,12
"Sutherland, Canada",2018,2018-05-21,02:03:00,IButton1,Temperature,C,15.5,12
"Sutherland, Canada",2018,2018-05-21,03:03:00,IButton1,Temperature,C,14,12
"Sutherland, Canada",2018,2018-05-21,04:03:00,IButton1,Temperature,C,13.5,12
