"Name","Location","Year","Rep","DTF"
"CDC Maxim AGL","Jessore, Bangladesh",2016,1,84
"CDC Maxim AGL","Jessore, Bangladesh",2016,2,83
"CDC Maxim AGL","Jessore, Bangladesh",2016,3,85
"CDC Maxim AGL","Jessore, Bangladesh",2017,1,88
"CDC Maxim AGL","Jessore, Bangladesh",2017,2,90
"CDC Maxim AGL","Jessore, Bangladesh",2017,3,90
"CDC Maxim AGL","Metaponto, Italy",2016,1,128
"CDC Maxim AGL","Metaponto, Italy",2016,2,133
"CDC Maxim AGL","Metaponto, Italy",2016,3,128
"CDC Maxim AGL","Metaponto, Italy",2017,1,139
"CDC Maxim AGL","Metaponto, Italy",2017,2,139
"CDC Maxim AGL","Metaponto, Italy",2017,3,138
"CDC Maxim AGL","Saskatoon, Canada",2016,1,50
"CDC Maxim AGL","Saskatoon, Canada",2016,2,51
"CDC Maxim AGL","Saskatoon, Canada",2016,3,51
"CDC Maxim AGL","Saskatoon, Canada",2017,1,55
"CDC Maxim AGL","Saskatoon, Canada",2017,3,53
"CDC Maxim AGL","Saskatoon, Canada",2017,2,55
"ILL 618 AGL","Jessore, Bangladesh",2016,1,76
"ILL 618 AGL","Jessore, Bangladesh",2016,2,77
"ILL 618 AGL","Jessore, Bangladesh",2016,3,77
"ILL 618 AGL","Jessore, Bangladesh",2017,1,84
"ILL 618 AGL","Jessore, Bangladesh",2017,2,82
"ILL 618 AGL","Jessore, Bangladesh",2017,3,80
"ILL 618 AGL","Metaponto, Italy",2016,1,135
"ILL 618 AGL","Metaponto, Italy",2016,2,135
"ILL 618 AGL","Metaponto, Italy",2016,3,135
"ILL 618 AGL","Metaponto, Italy",2017,1,139
"ILL 618 AGL","Metaponto, Italy",2017,2,142
"ILL 618 AGL","Metaponto, Italy",2017,3,141
"ILL 618 AGL","Saskatoon, Canada",2016,1,47
"ILL 618 AGL","Saskatoon, Canada",2016,2,48
"ILL 618 AGL","Saskatoon, Canada",2016,3,47
"ILL 618 AGL","Saskatoon, Canada",2017,1,48
"ILL 618 AGL","Saskatoon, Canada",2017,2,46
"ILL 618 AGL","Saskatoon, Canada",2017,3,46
"Laird AGL","Jessore, Bangladesh",2016,1,73
"Laird AGL","Jessore, Bangladesh",2016,2,74
"Laird AGL","Jessore, Bangladesh",2016,3,74
"Laird AGL","Jessore, Bangladesh",2017,1,78
"Laird AGL","Jessore, Bangladesh",2017,2,78
"Laird AGL","Jessore, Bangladesh",2017,3,84
"Laird AGL","Metaponto, Italy",2016,1,133
"Laird AGL","Metaponto, Italy",2016,2,135
"Laird AGL","Metaponto, Italy",2016,3,130
"Laird AGL","Metaponto, Italy",2017,1,139
"Laird AGL","Metaponto, Italy",2017,2,146
"Laird AGL","Metaponto, Italy",2017,3,138
"Laird AGL","Saskatoon, Canada",2016,2,56
"Laird AGL","Saskatoon, Canada",2016,1,56
"Laird AGL","Saskatoon, Canada",2016,3,56
"Laird AGL","Saskatoon, Canada",2017,1,60
"Laird AGL","Saskatoon, Canada",2017,2,57
"Laird AGL","Saskatoon, Canada",2017,3,56
