"SubRegion","Area","Area_Short","Locality","District Number","District","Surname","Given Name","Party","Party_Short","Votes","Percent of Votes","Total Votes"
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","Chapman","Matthew","Conservative","Cons",12855,31,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","Malone","Greg","Green Party","Green",2215,5,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","McDonald","Kenneth","Liberal","Libs",19122,46,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","Movelle","Lea Mary","New Democratic Party","NDP",7142,17,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Cooper","Matthew","New Democratic Party","NDP",3855,12,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Reichel","Kelsey","Green Party","Green",920,3,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Rogers","Churence","Liberal","Libs",14707,46,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Vokey","Sharon","Conservative","Cons",12697,40,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","Bracci","Alex","Conservative","Cons",12081,35,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","Joe","Noel","New Democratic Party","NDP",4224,12,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","Simms","Scott","Liberal","Libs",16514,48,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","White","Byron","Green Party","Green",1363,4,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Colbourne","Tyler","Green Party","Green",224,2,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Flemming","Larry","Conservative","Cons",3548,31,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Gray","Michelene","New Democratic Party","NDP",2796,24,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Jones","Yvonne","Liberal","Libs",4851,42,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Eisses","Josh","Conservative","Cons",10873,28,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Hutchings","Gudie","Liberal","Libs",18199,47,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Knill","Lucas","Green Party","Green",1334,4,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Miles","Robert","VCP","VCP",411,1,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Pike","Holly","New Democratic Party","NDP",7609,20,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Harris","Jack","New Democratic Party","NDP",21148,47,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Peters","David","Green Party","Green",821,2,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Wall","Joedy","Conservative","Cons",8141,18,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Whalen","Nick","Liberal","Libs",14962,33,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Anonsen","Anne Marie","New Democratic Party","NDP",10890,27,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Hayward","Alexandra","Green Party","Green",740,2,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Jones","David","Christian Heritage Party","CHP",141,0,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Martin","Terry","Conservative","Cons",7767,19,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","O'Regan","Seamus","Liberal","Libs",20793,51,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Ruckpaul","Benjamin","People's Party","PPC",335,1,41258
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","Beaton","Glen","Green Party","Green",3068,14,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","MacAulay","Lawrence","Liberal","Libs",10939,49,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","Phelan","Wayne","Conservative","Cons",6439,29,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","Squires","Christene","Christian Heritage Party","CHP",240,1,22399
